row,column
1,age
5,age
16,age
25,age
32,age
41,age
45,age
53,age
55,age
59,age
69,age
78,age
93,age
103,age
115,age
125,age
138,age
145,age
150,age
156,age
159,age
161,age
166,age
167,age
169,age
173,age
183,age
185,age
189,age
194,age
195,age
199,age
206,age
208,age
209,age
215,age
216,age
217,age
231,age
243,age
246,age
255,age
258,age
278,age
281,age
284,age
289,age
292,age
293,age
300,age
304,age
311,age
318,age
320,age
332,age
352,age
354,age
358,age
361,age
391,age
394,age
395,age
397,age
399,age
411,age
420,age
431,age
447,age
453,age
462,age
463,age
465,age
467,age
471,age
478,age
491,age
496,age
498,age
503,age
504,age
511,age
515,age
521,age
532,age
534,age
535,age
545,age
546,age
548,age
549,age
550,age
551,age
570,age
575,age
584,age
585,age
586,age
587,age
591,age
593,age
598,age
599,age
602,age
603,age
610,age
626,age
630,age
633,age
644,age
650,age
651,age
657,age
672,age
674,age
685,age
686,age
688,age
693,age
694,age
724,age
726,age
732,age
742,age
743,age
759,age
765,age
766,age
768,age
797,age
808,age
823,age
826,age
832,age
835,age
838,age
843,age
852,age
868,age
873,age
875,age
891,age
896,age
906,age
917,age
929,age
931,age
933,age
936,age
955,age
959,age
964,age
966,age
990,age
994,age
1001,age
1003,age
1014,age
1040,age
1041,age
1042,age
1044,age
1052,age
1053,age
1056,age
1057,age
1065,age
1090,age
1092,age
1097,age
1102,age
1128,age
1138,age
1152,age
1154,age
1162,age
1166,age
1181,age
1190,age
1192,age
1209,age
1212,age
1218,age
1225,age
1232,age
1234,age
1237,age
1246,age
1247,age
1257,age
1282,age
1285,age
1298,age
1323,age
1326,age
1331,age
1332,age
1337,age
1339,age
1351,age
1356,age
1371,age
1378,age
1397,age
1398,age
1407,age
1420,age
1425,age
1438,age
1443,age
1446,age
1457,age
1462,age
1467,age
1468,age
1471,age
1475,age
1479,age
1484,age
1500,age
1503,age
1508,age
1511,age
1521,age
1524,age
1527,age
1530,age
1552,age
1558,age
1563,age
1569,age
1571,age
1572,age
1575,age
1592,age
1593,age
1596,age
1615,age
1625,age
1633,age
1640,age
1642,age
1643,age
1650,age
1652,age
1655,age
1664,age
1671,age
1681,age
1682,age
1684,age
1694,age
1695,age
1707,age
1714,age
1720,age
1725,age
1728,age
1729,age
1756,age
