row,column
11,age
25,age
31,age
50,age
55,age
77,age
82,age
92,age
94,age
95,age
98,age
107,age
116,age
119,age
123,age
128,age
132,age
142,age
149,age
157,age
175,age
180,age
182,age
192,age
193,age
196,age
205,age
207,age
220,age
246,age
257,age
259,age
260,age
263,age
264,age
266,age
267,age
274,age
285,age
286,age
289,age
293,age
308,age
315,age
321,age
328,age
331,age
334,age
336,age
346,age
361,age
373,age
384,age
388,age
390,age
392,age
403,age
419,age
431,age
434,age
435,age
437,age
438,age
444,age
445,age
466,age
490,age
494,age
502,age
506,age
510,age
511,age
520,age
524,age
536,age
544,age
556,age
561,age
566,age
572,age
582,age
588,age
596,age
601,age
603,age
604,age
617,age
628,age
634,age
635,age
636,age
638,age
640,age
645,age
654,age
670,age
677,age
700,age
704,age
730,age
736,age
742,age
750,age
751,age
754,age
775,age
792,age
793,age
811,age
816,age
827,age
835,age
842,age
851,age
855,age
858,age
861,age
870,age
885,age
892,age
903,age
914,age
915,age
916,age
936,age
937,age
942,age
946,age
952,age
966,age
975,age
981,age
1000,age
1001,age
1006,age
1007,age
1008,age
1019,age
1028,age
1033,age
1034,age
1043,age
1047,age
1050,age
1051,age
1061,age
1065,age
1066,age
1074,age
1089,age
1097,age
1100,age
1113,age
1114,age
1116,age
1118,age
1120,age
1128,age
1130,age
1132,age
1143,age
1144,age
1146,age
1161,age
1172,age
1181,age
1182,age
1184,age
1191,age
1207,age
1221,age
1225,age
1230,age
1231,age
1236,age
1240,age
1241,age
1242,age
1257,age
1263,age
1273,age
1279,age
1301,age
1307,age
1317,age
1323,age
1325,age
1332,age
1337,age
1353,age
1370,age
1379,age
1385,age
1387,age
1388,age
1405,age
1407,age
1413,age
1415,age
1417,age
1426,age
1429,age
1431,age
1435,age
1439,age
1463,age
1471,age
1479,age
1483,age
1486,age
1488,age
1492,age
1493,age
1496,age
1510,age
1512,age
1516,age
1530,age
1531,age
1539,age
1569,age
1582,age
1585,age
1599,age
1603,age
1605,age
1610,age
1611,age
1616,age
1632,age
1638,age
1639,age
1650,age
1651,age
1655,age
1668,age
1671,age
1683,age
1701,age
1706,age
1710,age
1714,age
1722,age
1725,age
1729,age
1734,age
1737,age
1754,age
1762,age
1767,age
1768,age
1772,age
1780,age
1788,age
1789,age
1791,age
1796,age
1798,age
1805,age
1809,age
1817,age
1825,age
1833,age
1835,age
1842,age
1848,age
1854,age
1856,age
1858,age
1870,age
1882,age
1885,age
1886,age
1908,age
1912,age
1921,age
1928,age
1933,age
1937,age
1964,age
1969,age
1970,age
1995,age
2003,age
2006,age
2010,age
2011,age
2012,age
2013,age
2015,age
2016,age
2028,age
2031,age
2060,age
2080,age
2081,age
2085,age
2087,age
2093,age
2100,age
2105,age
2109,age
2115,age
2122,age
2144,age
2155,age
2156,age
2159,age
2166,age
2168,age
2171,age
2177,age
2182,age
2184,age
2199,age
2200,age
2206,age
2210,age
2211,age
2215,age
2216,age
2217,age
2220,age
2221,age
2230,age
2238,age
2243,age
2285,age
2298,age
2304,age
2315,age
2317,age
2318,age
2323,age
2351,age
2355,age
2374,age
2375,age
2387,age
2394,age
2399,age
2400,age
2402,age
2406,age
2407,age
2412,age
2446,age
2451,age
2457,age
2468,age
2478,age
2491,age
2499,age
2501,age
2502,age
2513,age
2520,age
2522,age
2523,age
2527,age
2530,age
2531,age
2534,age
2538,age
2546,age
2554,age
2557,age
2563,age
2567,age
2573,age
2577,age
2578,age
2603,age
2605,age
2610,age
2627,age
2643,age
2648,age
2650,age
2660,age
2678,age
2684,age
2694,age
2706,age
2707,age
2719,age
2733,age
2746,age
2750,age
2758,age
2759,age
2764,age
2779,age
2780,age
2782,age
2790,age
2794,age
2805,age
2807,age
2817,age
2840,age
2846,age
2858,age
2859,age
2876,age
2879,age
2881,age
2903,age
2909,age
2924,age
2930,age
2931,age
2932,age
2942,age
2947,age
2951,age
2956,age
2966,age
2976,age
2996,age
3005,age
3008,age
3009,age
3010,age
3016,age
3022,age
3050,age
3057,age
3060,age
3068,age
3072,age
3077,age
3101,age
3115,age
3120,age
3128,age
3138,age
3139,age
3147,age
3148,age
3172,age
3180,age
3193,age
3208,age
3220,age
3228,age
3230,age
3233,age
3235,age
3237,age
3242,age
3244,age
3262,age
3266,age
3270,age
3285,age
3288,age
3298,age
3303,age
3306,age
3313,age
3320,age
3323,age
3325,age
3330,age
3331,age
3356,age
3357,age
3360,age
3370,age
3379,age
3384,age
3387,age
3399,age
3405,age
3409,age
3411,age
3413,age
3414,age
3420,age
3422,age
3426,age
3444,age
3455,age
3460,age
3461,age
3467,age
3469,age
3470,age
3473,age
3476,age
3487,age
3490,age
3494,age
3495,age
3496,age
3498,age
3499,age
3502,age
3513,age
3514,age
3515,age
3531,age
3534,age
3539,age
3553,age
3555,age
3557,age
3559,age
3563,age
3570,age
3572,age
3574,age
3575,age
3584,age
3588,age
3590,age
3602,age
3606,age
3609,age
3616,age
3622,age
3624,age
3636,age
3651,age
3658,age
3663,age
3665,age
3666,age
3667,age
3677,age
3678,age
3690,age
3695,age
3697,age
3704,age
3709,age
3719,age
3729,age
3739,age
3751,age
3758,age
3760,age
3764,age
3773,age
3776,age
3780,age
3786,age
3788,age
3797,age
3809,age
3810,age
3815,age
3816,age
3818,age
3834,age
3839,age
3843,age
3853,age
3856,age
3873,age
3879,age
3890,age
3892,age
3893,age
3894,age
3901,age
3915,age
3917,age
3920,age
3921,age
3923,age
3924,age
3925,age
3931,age
3932,age
3936,age
3937,age
3952,age
3962,age
3970,age
3973,age
3989,age
3991,age
4004,age
4005,age
4010,age
4012,age
4015,age
4021,age
4025,age
4027,age
4030,age
4036,age
4038,age
4040,age
4045,age
4046,age
4050,age
4060,age
4065,age
4076,age
4079,age
4085,age
4086,age
4108,age
4111,age
4123,age
4140,age
4156,age
4163,age
4169,age
4182,age
4183,age
4189,age
4198,age
4200,age
4213,age
4217,age
4222,age
4228,age
4231,age
4238,age
4245,age
4246,age
4256,age
4260,age
4262,age
4266,age
4269,age
4275,age
4279,age
4285,age
4299,age
4304,age
4306,age
4322,age
4323,age
4324,age
4333,age
4335,age
4340,age
4344,age
4351,age
4374,age
4387,age
4391,age
4409,age
4416,age
4428,age
4430,age
4433,age
4436,age
4455,age
4459,age
4461,age
4477,age
4482,age
4484,age
4488,age
4504,age
4506,age
4513,age
4514,age
4517,age
4519,age
4527,age
4529,age
4553,age
4555,age
4563,age
